"Group.1","imce_RentContr","imce_InclZon","imce_Partic","imce_nonProf","imce_dens","imce_mixUse","imce_ClimNeutr"
"R_0062OLflnCrvn7H",0,0,0,0,0,0,0
"R_00PTrVSyTgRImPf",0.321385286094871,0.064037124731631,0.864634864931597,-0.232830079605099,-0.280974818964575,-0.224163061085948,0.00894400661463345
"R_00R5QIwwRJ7UrvP",-0.0304731398053075,-0.0217776783815751,-0.311165558176967,-0.0402445367826546,0.419502058105179,-0.540911627008995,0.00692122732694073
"R_00v9511Zia2oJj3",-0.104490683412971,-0.102135192268771,-0.538716545583861,-0.10341662646892,0.727574798759228,-0.0417344765172475,0.698760665959731
"R_01ADS9ntBBJgNWN",0,0,0,0,0,0,0
"R_01cVteCQsYIWKKB",0.260048657393151,0.395176749264479,-0.425533867244209,-0.206591576733944,0.108117912871955,-0.181215212445904,0.376813730999086
"R_01ekHZYSv9PSDjr",-0.720374820123563,-0.530503098541842,-0.356785061345819,-0.292812696198667,-0.0948011801898436,0.440264555292882,0.121071289818421
"R_01fQVNp5pfB8l8Z",-0.0231883518246338,-0.0746138352386353,-0.581836214973992,0.193899133196027,0.40396782819869,0.0623741107497838,-0.222249450847599
"R_01TWGhCcWkixrVv",-0.440131555149623,-0.229515589686278,-0.583067777723145,-0.204948974594536,-0.275790940303396,0.216091998843826,-0.230810051104449
"R_01xJI1YeIyfOg4p",0.609360629477817,-0.596082731222286,0.299882791638813,0.252705536979288,0.504104685737856,-0.674389974974753,0.15466250409142
"R_01XTHd4CU9skx3P",0.742031492702541,0.266245792764046,0.7272050161423,-0.58318253570772,-0.224532668130897,0,-0.208384215732675
"R_023CL3ZLJdXJ0RP",0.332152497296397,0.499099141895442,-0.224842287995128,0.319788923073981,-0.217990829178521,-0.226104197154158,0.351308955147208
"R_02ldTleicuNSnTz",0.235372983729358,-0.407436560262955,-0.530818023811679,-0.195212054575487,0.558850885142991,0.208850916806244,-0.486274538928999
"R_02o4tp0OHcaw8Tv",0,0,0,0,0,0,0
"R_02r9Sqf5MSj4JAR",0,0,0,0,0,0,0
"R_03933H5JkLZpD0J",-0.384556358370563,0.257227368317502,-0.089034728028567,0.035993370065222,-0.451588685937445,-0.0844028740678534,0.377100790066521
"R_03c61k1xdCqpyJH",0.634617219620158,0.63914755850444,0,-0.262427713712262,-0.49768205301902,0.675522104198068,-0.0191155097439991
"R_06PfAbQgT8pDII1",0.533899313964336,-0.529198334846651,0.0614930455591584,0.583232314331339,0.694215825274691,0,0.206209773747085
"R_06VITopUpQIhZqV",0,-0.137945282060423,0,0.0825986433285583,-0.113417620655843,-0.152312854071334,-0.167600933422312
"R_07bEESNu0RpNCXD",0.848614562050549,0.154069946568377,0.168366089102723,-0.249437240288432,0.0344787099687608,-0.229748374980357,0.321553143685782
"R_07JhGpDQf6c9xqF",0.698260206391745,0.241901698526144,0.220966159282907,0.396110655329708,-0.137590692482149,-0.489620332859163,0.166984697831102
"R_07XPw6NzyMvt3Tb",-0.00747708746302097,-0.327551426937529,0,-0.305830351754983,-0.0855107067011503,-0.237275470924915,0.175821002202709
"R_08jpIQtPhh5g3AZ",0.0627024101354501,0.525796935333395,-0.706193721020172,0.238190240996981,0.457079420972546,0.106489982880197,0.569125159492841
"R_08nPMMKiqGMl9E5",-0.18245345336058,0.315543820012399,0.0404874050952323,0.153002372291144,-0.29295511033126,0.434111310367827,0.243548306943052
"R_08Tcxpw7BgboGNX",-0.254051615456281,0.316764144384092,-0.369806423450115,-0.297522872208764,0.26234566251415,-0.350961173892491,0.0907338641456753
"R_08v89Eh66G2CFzz",-0.835262301937883,0.254462051119081,0.214933866461366,-0.21134151248783,0.386856167752872,-0.99009900990099,0.00957346110560446
"R_097kbxhy59giqTD",0.557544449598512,0.611139014033397,0.646222295500608,0.391121379431179,-0.0405131590681274,-0.536694913026773,0.178857277335429
"R_09rXtk3wHfdmv3X",0,0,0,0,0,0,0
"R_09zpuohMC20pUFH",0,0.466655151902536,0.229050678389169,-0.358550971219787,-0.358712270382659,0.239245145188317,-0.0154157917314739
"R_0AErBUS1sjN22u5",0,0,0,0,0,0,0
"R_0AHuVrnfYisUHv3",0.138067522563298,-0.189046252146699,0.155093262158936,-0.150260421533671,0.124217343183764,0.100243757673122,0.246778748308105
"R_0B1IuetpBYRYS3L",-0.216814263205788,0.242660156829983,0.243870302908815,0.233102348962241,-0.338203318898042,0.673948131796363,0.218793787792001
"R_0B6gxyIaLrd8NMt",0,0,0,0,0,0,0
"R_0BPKb5TYuvtFIiZ",0.864007334220297,0.0882732983046469,0.367976991792004,-0.391905266784027,-0.418323583357917,-0.0574009933074289,-0.132606899702231
"R_0BS36udYI1b8wnf",0,0,0,0,0,0,0
"R_0C9Ntxy4dkOkwUx",0.719271663196293,0.390632683805328,0.223221377865763,0.444521943148118,0.596782046065091,-0.384393259087698,-0.114174891137248
"R_0CA6a6rhiygHaIV",-0.532118362491582,0.555422920986609,-0.676260472269404,-0.04510364552052,0.441795539697938,0.0227884600126488,0.0403751585230853
"R_0cf3v7fbLJ3MSSR",-0.138870273872796,0.541139789260876,-0.356203457563065,0.202106960398101,0.204449514170324,0.0420288320362379,0.154547816150344
"R_0cj1iiw48lLVlHH",0.398823100977377,0.313299185456399,0,-0.330877654050986,0.0790529076859984,-0.33900785508465,-0.233783069571533
"R_0cRVjXG1oTRZqZX",0.272843893847692,0.320235071630212,0.679316472914669,0.196929923963922,-0.0848943289209722,-0.086855890653977,-0.105710976056823
"R_0d0IGlKPEVk08jn",0.421051245995229,0.597976255708625,-0.067979920791919,-0.42783939063283,0.484328189339576,-0.0620093051924698,-0.132972920807855
"R_0D4We5XDNl1dERP",-0.59796553277117,-0.709783466545677,-0.607406138558986,0.178853943761402,-0.811423043828918,0.631731557510415,-0.273329257751172
"R_0D6lCPscPgLPbpv",0,0,0,0,0,0,0
"R_0D6vUUaEluVB1zb",0.253711212159063,-0.347162244110402,0.263859416291874,0.493790819305935,0.363746476958173,0.291208508024377,0.0254275341134896
"R_0DGQfozEaDBXAQN",-0.0648200919406641,0.0543490230720708,0.855282352622707,-0.242966470307384,-0.184349240921954,-0.425321352157299,-0.213883461908778
"R_0DLEkFb3ObM4NG1",0,0,0,0,0,0,0
"R_0e6BWO88FbogAkF",0.0240192543129671,-0.477709456480875,0.291311015756081,0.357297960762023,-0.360401074201948,0.193480851571207,0.401563310584199
"R_0etLHun9UVGw7yp",-0.561984681481859,0.0815556170389769,0.0311189730774424,0.172839327072831,0.00207285034637763,0.435330271993916,-0.207041044932647
"R_0fAQmo8FxmCgFkl",-0.072508575117177,0.274385265430515,0,-0.130016601125489,-0.118240519454383,-0.1560999084121,-0.133720005914133
"R_0feplJPxECGcO6R",-0.557665496327409,0.0375075333218109,0.25665233233655,0.0342776765496277,0.00292517994002127,-0.437936432383486,-0.385852570909251
"R_0fj4XVIOHNqhpuh",-0.194328648881342,-0.13950909604899,0.302393128801615,0.0981808567913124,-0.410794914277422,0.253377617992779,-0.299310380274622
"R_0Gjtv7Ox7EAQp0J",0.724085150494019,0.253765895628013,0.585513213210628,0.0327179014814243,0.600555494637253,0.15436903830246,0.0282573004718929
"R_0GqHHhirHB8iaMp",0.0143009886194619,0.192953676848524,0.655883355752479,-0.44657075451492,0.0790755447091761,-0.251247203309908,-0.395147929496574
"R_0GsfFOBfaIExCsp",-0.108463727276442,-0.0690650848999407,0,-0.206098371891047,0.798597027720085,0.99009900990099,0.0641349806693386
"R_0GtgrTh7kZJEW8F",0.175062320127041,0.230245080523021,0.140269276026599,0.255276336310856,-0.263078600939574,0.105036751233074,-0.210386981118363
"R_0H8IQDVUK8cOfzb",-0.168520451995975,0.0279192188222674,0,-0.00891341648308959,-0.709058197131487,-0.600494071196446,0.158565118948495
"R_0HbC0ohvMM50BNL",0,0,0,0,0,0,0
"R_0HfyT0sHRsU7Olb",0,0,0,0,0,0,0
